X,Y,FID,Ano,Codregion,Region,Comuna,Zona,Calle1,Calle2,Numero,lat,lng,Claseaccid,Cód_Comun,Cód_Zona,Zona_1,Cód_Ubica,Ubicación,Cód_Calle,Intersecci,Pistas_de_,Pistas_de1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.77037,-33.535721,40,2019,13,REGION METROPOLITANA,MAIPU,URBANA,FERROCARRIL,3 PONIENTE,NULL,-33.535721,-70.77037,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131191137,3 PONIENTE - FERROCARRIL,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.769814,-33.536259,41,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A MELIPILLA,3 PONIENTE,NULL,-33.536259,-70.769814,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190392,3 PONIENTE - CAMINO A MELIPILLA,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-70.769524,-33.490879,42,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO LA FARFANA,LA SINFONIA,NULL,-33.490879,-70.769524,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131190408,CAMINO LA FARFANA - LA SINFONIA,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,2
-70.769211,-33.508926,43,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A RINCONADA,DE LA VICTORIA,NULL,-33.508926,-70.769211,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190394,CAMINO A RINCONADA - DE LA VICTORIA,3,3,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,2,2
-70.766998,-33.528149,44,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LOS DIAMANTES,ALFREDO SILVA CARVALLO,NULL,-33.528149,-70.766998,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131191963,ALFREDO SILVA CARVALLO - LOS DIAMANTES,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,2
-70.766884,-33.456184,45,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,AMERICO VESPUCIO,SERRANO,NULL,-33.456184,-70.766884,1,13124,1,URBANA,1,TRAMO DE VIA RECTA,131240039,AMERICO VESPUCIO - SERRANO,5,5,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.766876,-33.434032,46,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,SERRANO,DIAG LAS BARRANCAS,NULL,-33.434032,-70.766876,1,13124,1,URBANA,1,TRAMO DE VIA RECTA,131241250,DIAG LAS BARRANCAS - SERRANO,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-70.766006,-33.456924,47,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,PAPA SAN JUAN,AMERICO VESPUCIO,NULL,-33.456924,-70.766006,1,13124,1,URBANA,14,CRUCE CON SEÑAL PARE,131241002,AMERICO VESPUCIO - PAPA SAN JUAN,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.765953,-33.521137,48,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LA FORTUNA,SUR,NULL,-33.521137,-70.765953,1,13119,1,URBANA,26,OTROS NO CONSIDERADOS,131191625,LA FORTUNA - SUR,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-70.765289,-33.430084,49,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,SERRANO,EL CARMEN,NULL,-33.430084,-70.765289,1,13124,1,URBANA,1,TRAMO DE VIA RECTA,131241250,EL CARMEN - SERRANO,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.76474,-33.42886,50,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,SAN DANIEL,NAVIDAD,NULL,-33.42886,-70.76474,1,13124,1,URBANA,1,TRAMO DE VIA RECTA,131241214,NAVIDAD - SAN DANIEL,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.76458,-33.458942,51,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,SAN FRANCISCO,DIAG LAS BARRANCAS,NULL,-33.458942,-70.76458,1,13124,1,URBANA,1,TRAMO DE VIA RECTA,131241215,DIAG LAS BARRANCAS - SAN FRANCISCO,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.763618,-33.509949,52,2019,13,REGION METROPOLITANA,MAIPU,URBANA,EMILIANO LLONA,CAMINO A RINCONADA,NULL,-33.509949,-70.763618,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131191013,CAMINO A RINCONADA - EMILIANO LLONA,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,1,1
-70.761421,-33.469852,53,2019,13,REGION METROPOLITANA,MAIPU,URBANA,AMERICO VESPUCIO,EL DESCANSO,NULL,-33.469852,-70.761421,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131190124,AMERICO VESPUCIO - EL DESCANSO,3,3,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-70.75885,-33.505505,54,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LIBERTAD,MONUMENTO,NULL,-33.505505,-70.75885,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131191825,LIBERTAD - MONUMENTO,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.757614,-33.518063,55,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LOS PAJARITOS,NULL,1046,-33.518063,-70.757614,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192034,- LOS PAJARITOS,3,3,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,1,1
-70.757545,-33.496349,56,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LOS PAJARITOS,CRNEL SANTIAGO BUERAS,NULL,-33.496349,-70.757545,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192034,CRNEL SANTIAGO BUERAS - LOS PAJARITOS,3,3,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,1,1
-70.757431,-33.503591,57,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LOS PAJARITOS,CHILE,NULL,-33.503591,-70.757431,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192034,CHILE - LOS PAJARITOS,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,0,1,1
-70.757408,-33.510555,58,2019,13,REGION METROPOLITANA,MAIPU,URBANA,5 DE ABRIL,LOS PAJARITOS,NULL,-33.510555,-70.757408,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131190025,5 DE ABRIL - LOS PAJARITOS,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,1,1,2
-70.757332,-33.455456,59,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,MIRAFLORES,NULL,8998,-33.455456,-70.757332,1,13124,1,URBANA,1,TRAMO DE VIA RECTA,131240924,- MIRAFLORES,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-70.75724,-33.493874,60,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LOS PAJARITOS,CAMINO LA FARFANA,NULL,-33.493874,-70.75724,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192034,CAMINO LA FARFANA - LOS PAJARITOS,3,3,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,1,0,0,1
-70.757072,-33.498013,61,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LOS PAJARITOS,NULL,3211,-33.498013,-70.757072,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192034,- LOS PAJARITOS,3,3,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,1,1
-70.756317,-33.491638,62,2019,13,REGION METROPOLITANA,MAIPU,URBANA,ISABEL RIQUELME,LA SINFONIA,NULL,-33.491638,-70.756317,1,13119,1,URBANA,26,OTROS NO CONSIDERADOS,131191404,ISABEL RIQUELME - LA SINFONIA,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-70.756203,-33.521324,63,2019,13,REGION METROPOLITANA,MAIPU,URBANA,ALBERTO LLONA,NULL,640,-33.521324,-70.756203,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131190067,- ALBERTO LLONA,2,0,1,UNIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-70.755997,-33.419537,64,2019,13,REGION METROPOLITANA,CERRO NAVIA,URBANA,DIAG RENY,RIO DOURO,NULL,-33.419537,-70.755997,1,13103,1,URBANA,14,CRUCE CON SEÑAL PARE,131030135,DIAG RENY - RIO DOURO,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,1,0,1
-70.755676,-33.457794,65,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,OCEANIA,EL RAULI,NULL,-33.457794,-70.755676,1,13124,1,URBANA,26,OTROS NO CONSIDERADOS,131240950,EL RAULI - OCEANIA,2,0,1,UNIDIRECCIONAL,1,CONCRETO,0,0,0,0,1
-70.755623,-33.516388,66,2019,13,REGION METROPOLITANA,MAIPU,URBANA,4 ALAMOS,ALBERTO LLONA,NULL,-33.516388,-70.755623,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131190023,4 ALAMOS - ALBERTO LLONA,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-70.754372,-33.431713,67,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,SAN DANIEL,IQUIQUE,NULL,-33.431713,-70.754372,1,13124,1,URBANA,1,TRAMO DE VIA RECTA,131241214,IQUIQUE - SAN DANIEL,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-70.754181,-33.447334,68,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,CORONA SUECA,LA ESTRELLA,NULL,-33.447334,-70.754181,1,13124,1,URBANA,14,CRUCE CON SEÑAL PARE,131240230,CORONA SUECA - LA ESTRELLA,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.753723,-33.444092,69,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,SAN PABLO,LA ESTRELLA,NULL,-33.444092,-70.753723,1,13124,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131241232,LA ESTRELLA - SAN PABLO,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.75367,-33.366795,70,2019,13,REGION METROPOLITANA,QUILICURA,URBANA,LAS VIOLETAS,OLCA,NULL,-33.366795,-70.75367,1,13125,1,URBANA,1,TRAMO DE VIA RECTA,131250362,LAS VIOLETAS - OLCA,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.753166,-33.510399,71,2019,13,REGION METROPOLITANA,MAIPU,URBANA,5 DE ABRIL,PRIMERA TRANSVERSAL,NULL,-33.510399,-70.753166,1,13119,1,URBANA,12,CRUCE CON SEMAFORO APAGADO,131190025,5 DE ABRIL - PRIMERA TRANSVERSAL,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,1,0,1
-70.753159,-33.417816,72,2019,13,REGION METROPOLITANA,CERRO NAVIA,URBANA,LA ESTRELLA,NULL,1674,-33.417816,-70.753159,1,13103,1,URBANA,1,TRAMO DE VIA RECTA,131030294,- LA ESTRELLA,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-70.752998,-33.46283,73,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,LA ESTRELLA,ARGOS,NULL,-33.46283,-70.752998,1,13124,1,URBANA,26,OTROS NO CONSIDERADOS,131240564,ARGOS - LA ESTRELLA,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,0,1,1
-70.752708,-33.505497,74,2019,13,REGION METROPOLITANA,MAIPU,URBANA,PRIMERA TRANSVERSAL,TRISTAN VALDES,NULL,-33.505497,-70.752708,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131192617,PRIMERA TRANSVERSAL - TRISTAN VALDES,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.752243,-33.380062,75,2019,13,REGION METROPOLITANA,QUILICURA,URBANA,AMERICO VESPUCIO,CENTRAL,NULL,-33.380062,-70.752243,1,13125,1,URBANA,1,TRAMO DE VIA RECTA,131250022,AMERICO VESPUCIO - CENTRAL,3,3,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,0,0,0,1
-70.75206,-33.48872,76,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LOS PAJARITOS,ISABEL RIQUELME,NULL,-33.48872,-70.75206,1,13119,1,URBANA,26,OTROS NO CONSIDERADOS,131192034,ISABEL RIQUELME - LOS PAJARITOS,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,1,1
-70.752029,-33.436634,77,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,LA ESTRELLA,SAN FRANCISCO,NULL,-33.436634,-70.752029,1,13124,1,URBANA,1,TRAMO DE VIA RECTA,131240564,LA ESTRELLA - SAN FRANCISCO,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.751785,-33.37508,78,2019,13,REGION METROPOLITANA,QUILICURA,URBANA,LO ECHEVERS,NULL,230,-33.37508,-70.751785,1,13125,1,URBANA,1,TRAMO DE VIA RECTA,131250381,- LO ECHEVERS,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,0,0,1,1
