FID,OBJECTID,Match_addr,x,y,ICount,Region,Comuna,Calle_1,Calle_2,Numero,Accid_bici,Falle_bici,Grave_bici,Mgrav_bici,Leve_bici,Ileso_bici
521,546,"LAS TORRES & LIBERTADOR BERNARDO O`HIGGINS, QUILICURA",339109.3513,6307834.5078,1,REGION METROPOLITANA,QUILICURA,LAS TORRES,LIBERTADOR BERNARDO O`HIGGINS, ,1,0,0,0,1,0
522,547,"LAS TORRES & SIMON BOLIVAR, MAIPU",339118.4932,6294229.5994,1,REGION METROPOLITANA,MAIPU,LAS TORRES,SIMON BOLIVAR, ,1,0,0,0,0,1
523,548,"LAS TORRES NORTE & DEL TRIGAL, QUILICURA",338967.0047,6307909.9916,1,REGION METROPOLITANA,QUILICURA,LAS TORRES,DEL TRIGAL, ,1,0,0,0,1,0
524,549,"LAS TORRES SUR & SANTA LUISA, QUILICURA",338159.0984,6308414.7598,1,REGION METROPOLITANA,QUILICURA,LAS TORRES,SANTA LUISA, ,1,0,0,0,1,0
525,550,"LAS TRANQUERAS & VITACURA, VITACURA",355530.2499,6305006.4998,1,REGION METROPOLITANA,VITACURA,LAS TRANQUERAS,VITACURA, ,1,0,0,0,1,0
526,552,"LAS VIOLETAS & CALLE A, QUILICURA",337405.3206,6306547.1499,1,REGION METROPOLITANA,QUILICURA,LAS VIOLETAS,CALLE A, ,1,0,0,0,1,0
527,553,"LAS VIOLETAS & JUAN FRANCISCO GONZALEZ, QUILICURA",337538.6328,6306515.308,1,REGION METROPOLITANA,QUILICURA,LAS VIOLETAS,JUAN FRANCISCO GONZALEZ, ,1,0,0,0,1,0
528,554,"LAS VIOLETAS & TOCONCE, QUILICURA",337761.4896,6306460.1286,2,REGION METROPOLITANA,QUILICURA,LAS VIOLETAS,TOCONCE, ,2,0,1,0,1,0
529,555,"LAS VIZCACHAS & LAS ESMERALDAS, EL BOSQUE",345036.6655,6284475.0429,1,REGION METROPOLITANA,EL BOSQUE,LAS VIZCACHAS,LAS ESMERALDAS, ,1,0,0,0,0,1
530,556,"LEOPOLDO URRUTIA & ANTONIO VARAS, NUNOA",350413.7018,6297449.5685,4,REGION METROPOLITANA,NUNOA,LEOPOLDO URRUTIA,ANTONIO VARAS, ,4,0,0,0,3,1
531,557,"LIA AGUIRRE & DOCTOR LUIS CALVO MACKENNA, LA FLORIDA",351134.7125,6289592.5992,1,REGION METROPOLITANA,LA FLORIDA,LIA AGUIRRE,DOCTOR LUIS CALVO MACKENNA, ,1,0,0,0,1,0
532,559,"LIBERTADOR BERNARDO O`HIGGINS & AHUMADA, SANTIAGO",346595.6844,6298307.494,1,REGION METROPOLITANA,SANTIAGO,LIBERTADOR BERNARDO O`HIGGINS,AHUMADA, ,1,0,0,0,0,1
533,560,"LIBERTADOR BERNARDO O`HIGGINS & ANTUMALAL, QUILICURA",339116.9305,6308264.5088,1,REGION METROPOLITANA,QUILICURA,LIBERTADOR BERNARDO O`HIGGINS,ANTUMALAL, ,1,0,0,0,1,0
534,561,"LIBERTADOR BERNARDO O`HIGGINS & COVADONGA, QUILICURA",338854.3577,6306404.2834,1,REGION METROPOLITANA,QUILICURA,LIBERTADOR BERNARDO O`HIGGINS,COVADONGA, ,1,0,0,0,0,1
535,562,"LIBERTADOR BERNARDO O`HIGGINS & EXPOSICION, ESTACION CENTRAL",344054.3852,6297414.2213,1,REGION METROPOLITANA,ESTACION CENTRAL,LIBERTADOR BERNARDO O`HIGGINS,EXPOSICION, ,1,0,0,0,1,0
536,563,"LIBERTADOR BERNARDO O`HIGGINS & JOSE VICTORINO LASTARRIA, SANTIAGO",347503.5956,6298706.4091,1,REGION METROPOLITANA,SANTIAGO,LIBERTADOR BERNARDO O`HIGGINS,JOSE VICTORINO LASTARRIA, ,1,0,0,0,1,0
537,564,"LIBERTADOR BERNARDO O`HIGGINS & LO BASCUNAN, QUILICURA",339104.3604,6307573.2544,1,REGION METROPOLITANA,QUILICURA,LIBERTADOR BERNARDO O`HIGGINS,LO BASCUNAN, ,1,0,0,0,1,0
538,565,"LIBERTADOR BERNARDO O`HIGGINS & MIRAFLORES, SANTIAGO",347117.3206,6298460.7286,1,REGION METROPOLITANA,SANTIAGO,LIBERTADOR BERNARDO O`HIGGINS,MIRAFLORES, ,1,0,1,0,0,0
539,566,"LIBERTADOR BERNARDO O`HIGGINS & NAMUR, SANTIAGO",347730.0875,6298903.5996,1,REGION METROPOLITANA,SANTIAGO,LIBERTADOR BERNARDO O`HIGGINS,NAMUR, ,1,0,0,0,3,0
540,567,"LIBERTADOR BERNARDO O`HIGGINS & PABLO NERUDA, ESTACION CENTRAL",341688.0873,6296788.5995,1,REGION METROPOLITANA,ESTACION CENTRAL,LIBERTADOR BERNARDO O`HIGGINS,PABLO NERUDA, ,1,0,0,0,0,1
541,568,"LIBERTADOR BERNARDO O`HIGGINS & PADRE ALBERTO HURTADO, ESTACION CENTRAL",342828.9184,6297110.2462,2,REGION METROPOLITANA,ESTACION CENTRAL,LIBERTADOR BERNARDO O`HIGGINS,GENERAL VELASQUEZ, ,2,0,0,1,1,0
542,571,"LIBERTADOR BERNARDO O`HIGGINS & RODULFO PHILLIPPI, SANTIAGO",344427.6472,6297611.118,1,REGION METROPOLITANA,SANTIAGO,LIBERTADOR BERNARDO O`HIGGINS,RODULFO PHILLIPPI, ,1,0,0,0,1,0
543,572,"LIBERTADOR BERNARDO O`HIGGINS & SAN FRANCISCO, SANTIAGO",346915.4401,6298378.6243,1,REGION METROPOLITANA,SANTIAGO,LIBERTADOR BERNARDO O`HIGGINS,SAN FRANCISCO, ,1,0,1,0,0,0
544,573,"LIBERTADOR BERNARDO O`HIGGINS & SAN IGNACIO, QUILICURA",339392.412,6309962.7874,1,REGION METROPOLITANA,QUILICURA,LIBERTADOR BERNARDO O`HIGGINS,SAN IGNACIO, ,1,0,0,0,1,0
545,574,"LIBERTADOR BERNARDO O`HIGGINS & SANTA ROSA, SANTIAGO",346978.0051,6298408.4708,1,REGION METROPOLITANA,SANTIAGO,LIBERTADOR BERNARDO O`HIGGINS,SANTA ROSA, ,1,0,0,0,0,1
546,575,"LIBERTADOR BERNARDO O`HIGGINS & ZENTENO, SANTIAGO",346359.0768,6298198.5885,1,REGION METROPOLITANA,SANTIAGO,LIBERTADOR BERNARDO O`HIGGINS,ZENTENO, ,1,0,0,0,0,1
