X,Y,FID,Año,Claseaccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,COd_Calle_,Calle_Dos,Número,Intersecci,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-70.6352968560649,-33.4482219319963,661,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010621,STA ISABEL,131010494,PORTUGAL,0,PORTUGAL - STA ISABEL,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6347863469122,-33.5328916628198,662,2017,1,13131,SAN RAMON,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131310349,STA ROSA,131310050,ARGENTINA,0,ARGENTINA - STA ROSA,0,0,0,2,BICICLETA,0,0,0,0,2
-70.6345836999776,-33.4394815001709,663,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010667,VICUNA MACKENNA,0, ,45,VICUNA MACKENNA  45,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6342312997346,-33.5359048997911,664,2017,1,13131,SAN RAMON,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131310349,STA ROSA,0, ,8210,STA ROSA  8210,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6339586999338,-33.4545079997442,665,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010494,PORTUGAL,0, ,941,PORTUGAL  941,0,1,0,0,BICICLETA,0,1,0,0,1
-70.6339407998279,-33.4413252002976,666,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131010667,VICUNA MACKENNA,131010263,GRAL GANA,0,GRAL GANA - VICUNA MACKENNA,0,0,0,0,BICICLETA,0,0,0,0,1
-70.6338964416673,-33.4418644670713,667,2017,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131230516,VICUNA MACKENNA,131230450,RANCAGUA,0,RANCAGUA - VICUNA MACKENNA,0,1,0,0,BICICLETA,0,1,0,0,1
-70.6337990999484,-33.4456081001335,668,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131010268,GRAL JOFRE,131010398,MARIN,0,GRAL JOFRE - MARIN,0,1,0,0,BICICLETA,0,1,0,0,1
-70.6337897398044,-33.5562112408559,669,2017,1,13131,SAN RAMON,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131310339,SGTO CANDELARIA,131310185,LAUTARO,0,LAUTARO - SGTO CANDELARIA,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6335384998017,-33.455209774911,670,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131010495,PORVENIR,131010494,PORTUGAL,0,PORTUGAL - PORVENIR,0,0,0,0,BICICLETA,0,0,0,0,1
-70.6335342001431,-33.4556453003901,671,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010494,PORTUGAL,0, ,1055,PORTUGAL  1055,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6333767945033,-33.3932715995046,672,2017,1,13127,RECOLETA,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131270544,LOS ZAPADORES,131270579,MARIA EUGENIA,0,LOS ZAPADORES - MARIA EUGENIA,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6332747601219,-33.4562207369972,673,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010385,MANUEL ANTONIO MATTA,131010494,PORTUGAL,0,MANUEL ANTONIO MATTA - PORTUGAL,0,0,0,1,BICICLETA,0,0,0,0,2
-70.6331987997846,-33.5122819003891,674,2017,1,13129,SAN JOAQUIN,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131290600,STA ROSA,131290625,VARAS MENA,0,STA ROSA - VARAS MENA,0,1,0,0,BICICLETA,0,1,0,0,1
-70.6331976423571,-33.4369098555053,675,2017,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131230221,GRAL BUSTAMANTE,131230437,PROVIDENCIA,0,GRAL BUSTAMANTE - PROVIDENCIA,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6331672066012,-33.4764591216909,676,2017,1,13129,SAN JOAQUIN,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131290454,PINTOR CICARELLI,131290611,TOCORNAL,0,PINTOR CICARELLI - TOCORNAL,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6329523702555,-33.5493487562399,677,2017,1,13131,SAN RAMON,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131310349,STA ROSA,131310036,ALPATACAL,0,ALPATACAL - STA ROSA,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6327078760674,-33.4562191928613,678,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010385,MANUEL ANTONIO MATTA,131010459,PADRE ORELLANA,0,MANUEL ANTONIO MATTA - PADRE ORELLANA,0,1,0,0,BICICLETA,0,1,0,0,1
-70.6324609995752,-33.5436741996045,679,2017,1,13111,LA GRANJA,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131110612,STA ROSA,131110089,AMERICO VESPUCIO,0,AMERICO VESPUCIO - STA ROSA,0,1,0,0,BICICLETA,0,1,0,0,1
-70.6323851003919,-33.4420649996998,680,2017,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230447,RAMON CARNICER,131230221,GRAL BUSTAMANTE,0,GRAL BUSTAMANTE - RAMON CARNICER,0,0,0,0,BICICLETA,0,0,0,0,1
-70.6322307740309,-33.47500160484,681,2017,1,13129,SAN JOAQUIN,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131290093,CARLOS FERNANDEZ CONCHA,131290582,SIERRA BELLA,0,CARLOS FERNANDEZ CONCHA - SIERRA BELLA,0,0,0,0,BICICLETA,0,0,0,0,1
-70.6321127515021,-33.4427895816737,682,2017,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131230205,FRANCISCO BILBAO,131230447,RAMON CARNICER,0,FRANCISCO BILBAO - RAMON CARNICER,0,0,0,0,BICICLETA,0,0,0,0,1
-70.6319134725285,-33.448331065626,683,2017,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230516,VICUNA MACKENNA,131230413,PASSY,0,PASSY - VICUNA MACKENNA,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6315537931729,-33.5562192043527,684,2017,1,13131,SAN RAMON,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131310349,STA ROSA,131310339,SGTO CANDELARIA,0,SGTO CANDELARIA - STA ROSA,0,1,0,0,BICICLETA,0,1,0,0,1
-70.6313556563383,-33.4411764677196,685,2017,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131230221,GRAL BUSTAMANTE,131230450,RANCAGUA,0,GRAL BUSTAMANTE - RANCAGUA,0,0,0,0,BICICLETA,0,0,0,0,1
-70.6310188458429,-33.4362042887967,686,2017,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131230437,PROVIDENCIA,131230478,SEMINARIO,0,PROVIDENCIA - SEMINARIO,0,1,0,0,BICICLETA,0,1,0,0,1
-70.6309015032016,-33.4519491020692,687,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010667,VICUNA MACKENNA,131010002,10 DE JULIO HUAMACHUCO,0,10 DE JULIO HUAMACHUCO - VICUNA MACKENNA,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6307201998771,-33.4361788002113,688,2017,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230437,PROVIDENCIA,0, ,215,PROVIDENCIA  215,0,0,0,1,BICICLETA,0,0,0,0,1
