X,Y,FID,Año,ClaseAccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-70.7190019999999,-33.42561,194,2018,1,13103,CERRO NAVIA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131030426,MAPOCHO,131030468,NEPTUNO,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.7184599999999,-33.431126,195,2018,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260174,JOSE JOAQUIN PEREZ,131260133,ESPECH,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.71843,-33.526939,196,2018,1,13102,CERRILLOS,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131020296,LO ESPEJO,131020017,AEROPUERTO,0,0,0,0,0,BICICLETA,0,0,0,0,1
-70.7168659999999,-33.500652,197,2018,1,13102,CERRILLOS,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131020381,ONGOLMO,131020140,DON ORIONE,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.716576,-33.3689159999999,198,2018,1,13125,QUILICURA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131250085,CARAMPANGUE,131250003,4 ORIENTE,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.714935,-33.356823,199,2018,1,13125,QUILICURA,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131250382,LO MARCOLETA,131250391,LOS AMERICANOS,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.7144929999999,-33.403564,200,2018,1,13128,RENCA,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131280075,ARTURO PRAT,131280262,FRANCISCO ERRAZURIZ,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.713554,-33.505756,201,2018,1,13102,CERRILLOS,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131020169,EL MIRADOR,131020397,PEDRO AGUIRRE CERDA,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.7128563,-33.2622435,202,2018,1,13301,COLINA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,133010690,SAN JOSE, , ,126,0,0,0,0,BICICLETA,0,0,0,0,1
-70.712433,-33.402447,203,2018,1,13128,RENCA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131280323,JOSE MANUEL BALMACEDA,131280298,IGNACIO CARRERA PINTO,0,0,0,1,0,BICICLETA,0,0,1,0,1
