X,Y,FID,ICOUNT,Comuna,Año,Clase_Acci,Cód_Comun,Cód_Regi,Región,Cód__Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Intersecci,Direcci_1,Tipo_Cal_1,Fallecid_1,Graves_1,Menos_Gr_1,Leves_1,Tipo,Servicio
-70.6540980728676,-33.5009273974812,29,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131300200,PIRAMIDE,131300112,GRAN AVDA JOSE MIGUEL CARRERA, ,GRAN AVDA JOSE MIGUEL CARRERA - PIRAMIDE,PIRAMIDE @ GRAN AVDA JOSE MIGUEL CARRERA,ASFALTO,0,0,0,0,BICICLETA,PARTICULAR
-70.6540704034262,-33.4449549243302,30,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010342,LIBER BERNARDO O`HIGGINS,131010429,NATANIEL COX, ,LIBER BERNARDO O`HIGGINS - NATANIEL COX,LIBER BERNARDO O`HIGGINS @ NATANIEL COX,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6538132386899,-33.4788963069189,31,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131300253,SAN IGNACIO DE LOYOLA,131300008,ALC CARLOS VALDOVINOS, ,ALC CARLOS VALDOVINOS - SAN IGNACIO DE LOYOLA,SAN IGNACIO DE LOYOLA @ ALC CARLOS VALDOVINOS,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-70.65373716234,-33.3844885874782,32,1,RECOLETA,2016,1,13127,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131270492,LAVALLEJA,131270214,DIEGO SILVA HENRIQUEZ, ,DIEGO SILVA HENRIQUEZ - LAVALLEJA,LAVALLEJA @ DIEGO SILVA HENRIQUEZ,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6535750352595,-33.5155888883164,33,1,LA CISTERNA,2016,1,13109,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131090025,ANGAMOS,131090218,LO OVALLE, ,ANGAMOS - LO OVALLE,ANGAMOS @ LO OVALLE,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-70.6535254520379,-33.4526597193704,34,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131010621,STA ISABEL,131010547,ROBERTO ESPINOZA, ,ROBERTO ESPINOZA - STA ISABEL,STA ISABEL @ ROBERTO ESPINOZA,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6533808212677,-33.4600755136739,35,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010385,MANUEL ANTONIO MATTA,131010356,LORD COCHRANE, ,LORD COCHRANE - MANUEL ANTONIO MATTA,MANUEL ANTONIO MATTA @ LORD COCHRANE,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6530822805227,-33.4308423356051,36,1,INDEPENDENCIA,2016,1,13108,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131080174,INDEPENDENCIA,131080156,GRAL BORGONO, ,GRAL BORGONO - INDEPENDENCIA,INDEPENDENCIA @ GRAL BORGONO,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6528231282846,-33.4524807902561,37,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010621,STA ISABEL,131010429,NATANIEL COX, ,NATANIEL COX - STA ISABEL,STA ISABEL @ NATANIEL COX,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6527952582944,-33.436356320088,38,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010635,STO DOMINGO,131010070,BANDERA, ,BANDERA - STO DOMINGO,STO DOMINGO @ BANDERA,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
