FID,ICOUNT,Comuna,Cód_Región,Región,País,Calle_Uno,Calle_Dos,Número,Dirección,Fallecidos,Graves,Menos_Grav,Leves,Accidentes,Falle_bici,Grave_bici,Mgrav_bici,leve_bici
534,1,QUILICURA,13,REGION METROPOLITANA,Chile,LO OVALLE,LAS TORRES,0,LO OVALLE / LAS TORRES,0,0,0,1,1,0,0,0,1
535,1,QUILICURA,13,REGION METROPOLITANA,Chile,ROMERAL,DEL TRIGAL,0,ROMERAL / DEL TRIGAL,0,0,0,1,1,0,0,0,1
536,1,QUILICURA,13,REGION METROPOLITANA,Chile,LIBERTADOR BERNARDO O`HIGGINS,TENO,0,LIBERTADOR BERNARDO O`HIGGINS / TENO,0,0,0,1,1,0,0,0,1
537,1,QUILICURA,13,REGION METROPOLITANA,Chile,LIBERTADOR BERNARDO O`HIGGINS, ,500,LIBERTADOR BERNARDO O`HIGGINS 500,0,0,0,1,1,0,0,0,1
538,1,QUILICURA,13,REGION METROPOLITANA,Chile,SAN IGNACIO,CERRO SAN CRISTOBAL,0,SAN IGNACIO / CERRO SAN CRISTOBAL,0,0,0,1,1,0,0,0,1
539,1,QUINTA NORMAL,13,REGION METROPOLITANA,Chile,CARRASCAL,LA RIOJA,0,CARRASCAL / LA RIOJA,0,0,0,1,1,0,0,0,1
540,1,QUINTA NORMAL,13,REGION METROPOLITANA,Chile,CARMEN LIDIA,TEGUALDA,0,CARMEN LIDIA / TEGUALDA,1,0,0,0,1,1,0,0,0
541,1,QUINTA NORMAL,13,REGION METROPOLITANA,Chile,SALVADOR GUTIERREZ,JUJUY,0,SALVADOR GUTIERREZ / JUJUY,0,0,0,1,1,0,0,0,1
542,1,QUINTA NORMAL,13,REGION METROPOLITANA,Chile,NUEVA EXTREMADURA,JUJUY,0,NUEVA EXTREMADURA / JUJUY,0,0,0,1,1,0,0,0,1
543,2,QUINTA NORMAL,13,REGION METROPOLITANA,Chile,RADAL,NUEVA EXTREMADURA,0,RADAL / NUEVA EXTREMADURA,0,0,0,1,2,0,0,0,1
544,1,QUINTA NORMAL,13,REGION METROPOLITANA,Chile,AYUNTAMIENTO,SALVADOR GUTIERREZ,0,AYUNTAMIENTO / SALVADOR GUTIERREZ,0,0,0,1,1,0,0,0,1
545,1,QUINTA NORMAL,13,REGION METROPOLITANA,Chile,DOCTOR JOSE TOBIAS,OSCAR CHANKS,0,DOCTOR JOSE TOBIAS / OSCAR CHANKS,0,0,0,1,1,0,0,0,1
546,1,QUINTA NORMAL,13,REGION METROPOLITANA,Chile,CARRASCAL,DOCTOR JOSE TOBIAS,0,CARRASCAL / DOCTOR JOSE TOBIAS,0,1,0,0,1,0,1,0,0
