FID,Ubicacion,Fallecidos,Graves,MenosGrave,Leve,Accidentes
111,"TENIENTE CRUZ & LOS PAJARITOS, PUDAHUEL",0,0,0,1,1
112,"5643 LOS PAJARITOS, MAIPU",0,0,0,1,1
113,"MANUEL ANTONIO MATTA & LOS CARRERA, QUILICURA",0,0,0,1,1
114,"TUPUNGATO & PARINACOTA, LO PRADO",0,1,0,0,1
115,"JOSE JOAQUIN PEREZ & RENE OLIVA, CERRO NAVIA",0,0,0,1,1
116,"LOS PAJARITOS & DIAGONAL DE LOS LAGOS, PUDAHUEL",0,0,0,1,1
117,"CONDELL & JOSE MANUEL BALMACEDA, RENCA",0,0,0,1,2
118,"1829 LOS CANCILLERES, MAIPU",0,0,0,1,1
119,"MANUEL ANTONIO MATTA & LIBERTADOR BERNARDO O`HIGGINS, QUILICURA",0,0,0,1,1
120,"1410 ISMAEL BRICENO, QUILICURA",1,0,0,0,1
121,"LOS PAJARITOS & LAS TORRES, PUDAHUEL",0,0,0,1,1
122,"LIBERTADOR BERNARDO O`HIGGINS & LAS TORRES, QUILICURA",0,1,0,0,1
123,"LIBERTADOR BERNARDO O`HIGGINS & LO MARCOLETA, QUILICURA",0,0,0,2,1
124,"ANTUMALAL & LIBERTADOR BERNARDO O`HIGGINS, QUILICURA",0,0,0,1,1
125,"GENERAL JUAN BUENDIA & RUTA 68, ESTACION CENTRAL",0,0,0,1,1
126,"6635 SAN PABLO, LO PRADO",0,0,0,0,1
127,"JOSE MIGUEL INFANTE & CONDELL, RENCA",0,0,0,0,2
128,"SAN PABLO & LOS JUNCOS, LO PRADO",0,0,0,1,1
129,"ISABEL RIQUELME & ACRUX, MAIPU",0,0,0,0,1
130,"CONDELL & QUILLAY, RENCA",0,0,0,1,1
131,"SANTA CORINA & LAS PARCELAS, MAIPU",0,0,0,1,1
132,"LAS MADRESELVAS & LOS ARRAYANES, LO PRADO",0,0,0,0,1
133,"COLO COLO & ARTURO PRAT, RENCA",0,0,0,0,1
134,"JOSE JOAQUIN PEREZ & LOS RETAMOS, CERRO NAVIA",0,0,0,1,1
