,lat,lng,Year,Borough,Region,Zone,Severity
66,-70.7642308996361,-33.4421110998472,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
67,-70.7636045002473,-33.4284701003147,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
68,-70.7635907999753,-33.3899769997386,2017,RENCA,REGION METROPOLITANA,URBANA,SERIOUS
69,-70.7631335001108,-33.5209154999502,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
70,-70.7625671997163,-33.4817411997964,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
71,-70.7613555044528,-33.4421572638465,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
72,-70.7609769384347,-33.4696539724526,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
73,-70.7605358002868,-33.462441200101,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
74,-70.7602919922815,-33.495293397572,2017,MAIPU,REGION METROPOLITANA,URBANA,SERIOUS
75,-70.759919621693,-33.5106686443423,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
76,-70.7598858998143,-33.4274395995576,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SLIGHT
77,-70.7598151132767,-33.4308381789386,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SERIOUS
78,-70.7588081999382,-33.419087200014,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SLIGHT
79,-70.7586081997084,-33.4963338996895,2017,MAIPU,REGION METROPOLITANA,URBANA,SLIGHT
80,-70.7585490000362,-33.4240396001473,2017,CERRO NAVIA,REGION METROPOLITANA,URBANA,SLIGHT
81,-70.7583966539822,-33.4431371381682,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SERIOUS
82,-70.7583191935757,-33.4568366484924,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
83,-70.7581227996272,-33.4562243001112,2017,PUDAHUEL,REGION METROPOLITANA,URBANA,SLIGHT
